Date/Time,Word Count,en,ru
2024.06.26-16.55.02,13,13,0
2024.06.26-16.59.38,13,13,13
2024.06.26-17.10.27,12,12,11
2024.06.26-17.11.01,12,12,12
2024.06.26-17.11.48,11,11,11
2024.06.26-18.36.24,12,12,11
2024.06.26-18.36.48,12,12,12
2024.06.26-19.14.23,12,12,11
2024.06.28-17.22.29,31,31,11
2024.06.28-17.28.58,35,35,11
2024.06.28-17.30.59,37,37,11
2024.06.28-17.36.35,38,38,11
2024.06.28-17.39.33,31,31,11
2024.06.28-17.41.44,31,31,30
2024.06.28-17.42.17,31,31,31
2024.07.06-21.04.44,54,54,31
2024.07.06-21.06.51,54,54,51
2024.07.14-12.35.18,81,81,51
2024.07.14-12.36.07,81,81,53
2024.07.14-12.37.47,81,81,52
2024.07.14-12.38.20,81,81,53
2024.07.14-12.38.38,79,79,53
